# Armada Engagement Log - Theater Operations Record
# Format: tick|armada_id|event_type|target_armada|sector
1|A0|SKIRMISH|NONE|ALPHA
2|A0|BARRAGE|NONE|BETA
3|A1|BARRAGE|NONE|BETA
4|A2|SKIRMISH|NONE|GAMMA
5|A3|BARRAGE|NONE|DELTA
6|A4|SKIRMISH|NONE|EPSILON
7|A1|SKIRMISH|NONE|GAMMA
8|A0|SKIRMISH|NONE|GAMMA
9|A2|BARRAGE|NONE|ALPHA
10|A3|SKIRMISH|NONE|EPSILON
11|A4|BARRAGE|NONE|ALPHA
12|A0|BARRAGE|NONE|ALPHA
13|A5|BARRAGE|NONE|ALPHA
14|A1|REGROUP|A2|ALPHA
15|A2|SKIRMISH|NONE|BETA
16|A3|BARRAGE|NONE|ALPHA
17|A4|SKIRMISH|NONE|BETA
18|A0|SKIRMISH|NONE|DELTA
19|A1|BARRAGE|NONE|DELTA
20|A5|SKIRMISH|NONE|BETA
21|A6|BARRAGE|NONE|BETA
22|A2|REGROUP|A3|DELTA
23|A3|SKIRMISH|NONE|BETA
24|A4|REGROUP|A6|GAMMA
25|A0|REGROUP|A1|EPSILON
26|A1|SKIRMISH|NONE|EPSILON
27|A5|REGROUP|A0|GAMMA
28|A6|SKIRMISH|NONE|GAMMA
29|A2|BARRAGE|NONE|EPSILON
30|A0|SKIRMISH|NONE|BETA
31|A3|REGROUP|A4|GAMMA
32|A5|BARRAGE|NONE|DELTA
33|A1|REGROUP|A0|BETA
34|A4|BARRAGE|NONE|DELTA
35|A6|BARRAGE|NONE|DELTA
36|A2|SKIRMISH|NONE|ALPHA
37|A5|REGROUP|A4|EPSILON
38|A0|BARRAGE|NONE|ALPHA
39|A6|SKIRMISH|NONE|EPSILON
40|A1|SKIRMISH|NONE|GAMMA
41|A4|SKIRMISH|NONE|EPSILON
42|A3|SKIRMISH|NONE|DELTA
43|A6|SKIRMISH|NONE|ALPHA
44|A5|SKIRMISH|NONE|ALPHA
45|A6|BARRAGE|NONE|BETA
