; Type Inference Constraint Log
; Variables: t0, t1, t2, t3, t4, t5, t6
; Format: SEQ | TYPE_VAR | EVENT_TYPE | PAYLOAD
; BASE_CONSTRAINT = 3
001 | t0 | BIND | strength=1
002 | t1 | BIND | strength=1
003 | t2 | BIND | strength=1
004 | t3 | BIND | strength=1
005 | t0 | PROPAGATE | strength=2
006 | t4 | BIND | strength=1
007 | t1 | PROPAGATE | strength=2
008 | t2 | PROPAGATE | strength=2
009 | t3 | PROPAGATE | strength=2
010 | t0 | BIND | strength=1
011 | t4 | PROPAGATE | strength=2
012 | t5 | BIND | strength=1
013 | t1 | BIND | strength=1
014 | t6 | BIND | strength=1
015 | t0 | PROPAGATE | strength=2
016 | t5 | BIND | strength=1
017 | t1 | UNIFY | constraints=t0:6;t1:5;t2:5;t3:5;t4:4;t5:6;t6:5
018 | t6 | UNIFY | constraints=t0:5;t1:4;t2:4;t3:4;t4:4;t5:4;t6:4
019 | t0 | UNIFY | constraints=t0:5;t1:7;t2:6;t3:5;t4:5;t5:4;t6:4
020 | t2 | UNIFY | constraints=t0:6;t1:5;t2:4;t3:4;t4:5;t5:5;t6:5
021 | t3 | UNIFY | constraints=t0:5;t1:5;t2:4;t3:5;t4:5;t5:5;t6:5
022 | t1 | PROPAGATE | strength=2
023 | t4 | UNIFY | constraints=t0:5;t1:4;t2:5;t3:5;t4:5;t5:4;t6:5
024 | t6 | PROPAGATE | strength=2
025 | t3 | PROPAGATE | strength=2
026 | t0 | BIND | strength=1
027 | t2 | PROPAGATE | strength=2
028 | t1 | BIND | strength=1
029 | t4 | PROPAGATE | strength=2
030 | t3 | BIND | strength=1
031 | t2 | BIND | strength=1
032 | t0 | PROPAGATE | strength=2
033 | t5 | PROPAGATE | strength=2
034 | t2 | UNIFY | constraints=t0:5;t1:4;t2:5;t3:3;t4:4;t5:4;t6:4
035 | t4 | UNIFY | constraints=t0:4;t1:3;t2:4;t3:4;t4:5;t5:3;t6:4
036 | t3 | UNIFY | constraints=t0:4;t1:4;t2:3;t3:5;t4:4;t5:4;t6:4
037 | t0 | BIND | strength=1
038 | t5 | BIND | strength=1
039 | t1 | UNIFY | constraints=t0:5;t1:5;t2:4;t3:4;t4:3;t5:5;t6:4
040 | t5 | UNIFY | constraints=t0:7;t1:6;t2:7;t3:5;t4:6;t5:5;t6:6
041 | t5 | UNIFY | constraints=t0:6;t1:5;t2:6;t3:4;t4:5;t5:5;t6:5
042 | t0 | UNIFY | constraints=t0:7;t1:5;t2:5;t3:4;t4:4;t5:6;t6:5
043 | t6 | PROPAGATE | strength=2
044 | t4 | BIND | strength=1
045 | t0 | UNIFY | constraints=t0:6;t1:6;t2:4;t3:4;t4:3;t5:5;t6:4
